District_ID,Instrument_ID,Annual_Projected_Revenue
District 12,Instrument 2,0
District 12,Instrument 3,0
District 13,Instrument 1,0
District 13,Instrument 5,0
District 16,Instrument 2,0
District 19,Instrument 1,0
District 19,Instrument 2,0
District 19,Instrument 7,0
District 20,Instrument 1,0
District 20,Instrument 6,0
District 28,Instrument 1,0
District 28,Instrument 2,0
District 28,Instrument 3,0
District 28,Instrument 4,0
District 28,Instrument 5,0
District 28,Instrument 6,0
District 35,Instrument 2,0
District 37,Instrument 2,0
District 37,Instrument 3,0
District 37,Instrument 4,0
District 4,Instrument 2,0
District 41,Instrument 1,0
District 41,Instrument 5,0
District 5,Instrument 2,0
District 18,Instrument 1,0
District 18,Instrument 2,0
District 18,Instrument 3,0
District 18,Instrument 4,0
District 18,Instrument 6,0
District 18,Instrument 7,0
District 32,Instrument 1,0
District 32,Instrument 2,0
District 32,Instrument 5,0
District 16,Instrument 2,0
District 18,Instrument 1,0
District 18,Instrument 2,0
District 18,Instrument 3,0
District 18,Instrument 4,0
District 18,Instrument 6,0
District 28,Instrument 1,0
District 28,Instrument 2,0
District 28,Instrument 3,0
District 28,Instrument 4,0
District 28,Instrument 6,0
District 37,Instrument 2,0
District 37,Instrument 3,0
District 37,Instrument 4,0
District 45,Instrument 2,0
District 12,Instrument 2,0
District 12,Instrument 3,0
District 13,Instrument 1,0
District 13,Instrument 3,0
District 13,Instrument 4,0
District 13,Instrument 8,0
District 20,Instrument 1,0
District 20,Instrument 2,0
District 35,Instrument 2,0
District 41,Instrument 1,0
District 41,Instrument 5,0
District 41,Instrument 8,0
District 44,Instrument 2,0
District 44,Instrument 3,0
District 44,Instrument 7,0
District 39,Instrument 1,0
District 39,Instrument 2,0
District 39,Instrument 4,0
District 39,Instrument 7,0
District 10,Instrument 1,0
District 10,Instrument 3,0
District 10,Instrument 4,0
District 10,Instrument 6,0
District 10,Instrument 7,0
District 12,Instrument 2,0
District 12,Instrument 3,0
District 13,Instrument 2,0
District 13,Instrument 3,0
District 13,Instrument 4,0
District 14,Instrument 2,0
District 14,Instrument 5,0
District 14,Instrument 7,0
District 16,Instrument 2,0
District 18,Instrument 1,0
District 18,Instrument 4,0
District 18,Instrument 6,0
District 19,Instrument 1,0
District 20,Instrument 1,0
District 20,Instrument 6,0
District 20,Instrument 7,0
District 21,Instrument 2,0
District 21,Instrument 3,0
District 21,Instrument 6,0
District 27,Instrument 1,0
District 27,Instrument 2,0
District 28,Instrument 1,0
District 28,Instrument 6,0
District 33,Instrument 2,0
District 33,Instrument 3,0
District 33,Instrument 7,0
District 34,Instrument 1,0
District 34,Instrument 5,0
District 35,Instrument 2,0
District 37,Instrument 2,0
District 37,Instrument 3,0
District 38,Instrument 2,0
District 39,Instrument 1,0
District 39,Instrument 4,0
District 39,Instrument 7,0
District 4,Instrument 2,0
District 41,Instrument 1,0
District 41,Instrument 2,0
District 41,Instrument 3,0
District 41,Instrument 5,0
