Hospital_ID,Region_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total,Year Average,Year Median,Max Year,Min Year,First Quarter Sum,Second Quarter Sum,Third Quarter Sum,Fourth Quarter Sum,First Quarter Avg,Second Quarter Avg,Third Quarter Avg,Fourth Quarter Avg,First Half Year Total,First Half Year Average,Second Half Year Total,Second Half Year Average
Hospital 562,Region 1,District 10,Instrument 1,27,27,25,27,21,29,23,27,25,17,80,0,328.00,27.33,26.00,80,0,79.00,77.00,75.00,97.00,26.33,25.67,25.00,32.33,156.00,26.00,172.00,28.71
Hospital 562,Region 1,District 10,Instrument 2,235,262,298,272,240,275,267,295,251,251,214,286,3146.00,262.17,264.50,298,214,795.00,787.00,813.00,751.00,265.00,262.33,271.00,250.33,1582.00,263.67,1564.00,262.71
Hospital 562,Region 1,District 10,Instrument 3,33,55,33,32,31,32,32,29,121,31,29,104,562.00,46.83,32.00,121,29,121.00,95.00,182.00,164.00,40.33,31.67,60.67,54.67,216.00,36.00,346.00,54.00
Hospital 562,Region 1,District 10,Instrument 4,11,9,9,9,9,7,12,12,12,8,8,9,115.00,9.58,9.00,12,7,29.00,25.00,36.00,25.00,9.67,8.33,12.00,8.33,54.00,9.00,61.00,9.71
Hospital 562,Region 1,District 10,Instrument 6,18,36,22,20,87,16,14,18,17,22,29,31,330.00,27.50,21.00,87,14,76.00,123.00,49.00,82.00,25.33,41.00,16.33,27.33,199.00,33.17,131.00,21.00
Hospital 562,Region 1,District 10,Instrument 7,23,23,23,24,0,25,28,28,28,28,28,28,286.00,23.83,26.50,28,0,69.00,49.00,84.00,84.00,23.00,16.33,28.00,28.00,118.00,19.67,168.00,27.57
Hospital 562,Region 1,District 12,Instrument 2,0,0,0,0,0,0,0,1428,2933,4324,1953,1773,12411.00,1034.25,0.00,4324,0,0.00,0.00,4361.00,8050.00,0.00,0.00,1453.67,2683.33,0.00,0.00,12411.00,1773.00
Hospital 562,Region 1,District 13,Instrument 1,158,183,180,189,189,0,0,0,0,0,0,0,899.00,74.92,0.00,189,0,521.00,378.00,0.00,0.00,173.67,126.00,0.00,0.00,899.00,149.83,0.00,0.00
Hospital 562,Region 1,District 13,Instrument 2,8418,10290,8549,7467,7031,5881,7024,6334,4865,4025,149149,-6710,212323.00,17693.58,7027.50,149149,-6710,27257.00,20379.00,18223.00,146464.00,9085.67,6793.00,6074.33,48821.33,47636.00,7939.33,164687.00,24366.86
Hospital 562,Region 1,District 13,Instrument 3,250,311,182,152,136,1780,2010,1778,13950,7895,1623,4042,34109.00,2842.42,1700.50,13950,136,743.00,2068.00,17738.00,13560.00,247.67,689.33,5912.67,4520.00,2811.00,468.50,31298.00,4725.43
Hospital 562,Region 1,District 13,Instrument 4,268,273,278,200,214,0,0,0,0,0,0,0,1233.00,102.75,0.00,278,0,819.00,414.00,0.00,0.00,273.00,138.00,0.00,0.00,1233.00,205.50,0.00,0.00
Hospital 562,Region 1,District 13,Instrument 5,1173,1092,1139,1168,1139,1984,386,1239,1125,1106,1179,1196,13926.00,1160.50,1153.50,1984,386,3404.00,4291.00,2750.00,3481.00,1134.67,1430.33,916.67,1160.33,7695.00,1282.50,6231.00,1173.57
Hospital 562,Region 1,District 13,Instrument 8,0,0,0,0,0,0,7,7,7,7,7,493,528.00,44.00,3.50,493,0,0.00,0.00,21.00,507.00,0.00,0.00,7.00,169.00,0.00,0.00,528.00,75.43
Hospital 562,Region 1,District 18,Instrument 1,47,48,48,41,48,39,37,36,35,32,23,23,457.00,38.08,38.00,48,23,143.00,128.00,108.00,78.00,47.67,42.67,36.00,26.00,271.00,45.17,186.00,32.14
Hospital 562,Region 1,District 18,Instrument 2,549,598,586,491,573,524,483,475,481,484,434,470,6148.00,512.33,487.50,598,434,1733.00,1588.00,1439.00,1388.00,577.67,529.33,479.67,462.67,3321.00,553.50,2827.00,478.71
Hospital 562,Region 1,District 18,Instrument 3,0,0,0,0,0,0,0,-38,-39,-60,-57,-62,-256.00,-21.33,0.00,0,-62,0.00,0.00,-77.00,-179.00,0.00,0.00,-25.67,-59.67,0.00,0.00,-256.00,-36.57
Hospital 562,Region 1,District 18,Instrument 4,0,0,0,0,0,0,2,0,0,0,0,0,2.00,0.17,0.00,2,0,0.00,0.00,2.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,2.00,0.29
Hospital 562,Region 1,District 18,Instrument 6,0,0,0,0,0,0,0,6,-2,-22,24,-2,4.00,0.33,0.00,24,-22,0.00,0.00,4.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,4.00,0.57
Hospital 562,Region 1,District 20,Instrument 1,1132,77,1065,174,0,66,1131,161,1133,143,1167,129,6378.00,531.50,167.50,1167,0,2274.00,240.00,2425.00,1439.00,758.00,80.00,808.33,479.67,2514.00,419.00,3864.00,561.43
Hospital 562,Region 1,District 20,Instrument 2,15289,1032,14390,2355,15033,892,15285,2174,15312,1930,15766,1734,101192.00,8432.67,8372.50,15766,892,30711.00,18280.00,32771.00,19430.00,10237.00,6093.33,10923.67,6476.67,48991.00,8165.17,52201.00,7584.71
Hospital 562,Region 1,District 20,Instrument 3,4394,0,4371,0,3828,0,-769,0,4326,0,5835,0,21985.00,1832.08,0.00,5835,-769,8765.00,3828.00,3557.00,5835.00,2921.67,1276.00,1185.67,1945.00,12593.00,2098.83,9392.00,1341.71
Hospital 562,Region 1,District 20,Instrument 6,189,0,208,0,230,0,259,0,267,0,299,0,1452.00,121.00,94.50,299,0,397.00,230.00,526.00,299.00,132.33,76.67,175.33,99.67,627.00,104.50,825.00,117.86
Hospital 562,Region 1,District 21,Instrument 2,166,59,162,80,58,45,0,0,0,0,0,0,570.00,47.50,22.50,166,0,387.00,183.00,0.00,0.00,129.00,61.00,0.00,0.00,570.00,95.00,0.00,6.43
Hospital 562,Region 1,District 25,Instrument 2,195,216,152,143,139,198,103,117,80,315,159,159,1976.00,164.67,155.50,315,80,563.00,480.00,300.00,633.00,187.67,160.00,100.00,211.00,1043.00,173.83,933.00,161.57
Hospital 562,Region 1,District 28,Instrument 1,340,330,333,299,361,377,360,329,304,296,367,0,3696.00,308.00,331.50,377,0,1003.00,1037.00,993.00,663.00,334.33,345.67,331.00,221.00,2040.00,340.00,1656.00,290.43
Hospital 562,Region 1,District 28,Instrument 2,24534,28171,29820,22405,29623,29812,28436,36773,24663,24144,38222,29903,346506.00,28875.50,29029.50,38222,22405,82525.00,81840.00,89872.00,92269.00,27508.33,27280.00,29957.33,30756.33,164365.00,27394.17,182141.00,30279.00
Hospital 562,Region 1,District 28,Instrument 3,15,23,17,553,751,0,0,0,128,131,130,1281,3029.00,252.42,75.50,1281,0,55.00,1304.00,128.00,1542.00,18.33,434.67,42.67,514.00,1359.00,226.50,1670.00,238.57
Hospital 562,Region 1,District 28,Instrument 6,15,2,0,0,0,0,0,0,0,4,0,0,21.00,1.75,0.00,15,0,17.00,0.00,0.00,4.00,5.67,0.00,0.00,1.33,17.00,2.83,4.00,0.57
Hospital 562,Region 1,District 29,Instrument 1,8,7,1,0,0,0,0,0,0,0,0,0,16.00,1.33,0.00,8,0,16.00,0.00,0.00,0.00,5.33,0.00,0.00,0.00,16.00,2.67,0.00,0.00
Hospital 562,Region 1,District 29,Instrument 2,80,67,8,70,62,77,69,60,63,67,66,66,755.00,62.92,66.50,80,8,155.00,209.00,192.00,199.00,51.67,69.67,64.00,66.33,364.00,60.67,391.00,66.86
Hospital 562,Region 1,District 29,Instrument 4,4,2,173,3,3,12,3,7,5,0,1,4,217.00,18.08,3.50,173,0,179.00,18.00,15.00,5.00,59.67,6.00,5.00,1.67,197.00,32.83,20.00,4.57
Hospital 562,Region 1,District 37,Instrument 2,12430,14812,12435,14770,13617,11753,13926,11775,10831,12656,12972,12000,153977.00,12831.42,12545.50,14812,10831,39677.00,40140.00,36532.00,37628.00,13225.67,13380.00,12177.33,12542.67,79817.00,13302.83,74160.00,12273.29
Hospital 562,Region 1,District 37,Instrument 3,0,0,0,0,0,15,12,12,12,12,12,12,87.00,7.25,12.00,15,0,0.00,15.00,36.00,36.00,0.00,5.00,12.00,12.00,15.00,2.50,72.00,12.43
Hospital 562,Region 1,District 39,Instrument 1,40,28,42,26,39,50,46,49,41,76,90,53,580.00,48.33,44.00,90,26,110.00,115.00,136.00,219.00,36.67,38.33,45.33,73.00,225.00,37.50,355.00,57.86
Hospital 562,Region 1,District 39,Instrument 2,394,284,522,307,386,454,679,666,511,795,1082,872,6952.00,579.33,516.50,1082,284,1200.00,1147.00,1856.00,2749.00,400.00,382.33,618.67,916.33,2347.00,391.17,4605.00,722.71
Hospital 562,Region 1,District 39,Instrument 4,307,231,236,190,354,540,176,221,258,539,500,77,3629.00,302.42,247.00,540,77,774.00,1084.00,655.00,1116.00,258.00,361.33,218.33,372.00,1858.00,309.67,1771.00,330.14
Hospital 562,Region 1,District 41,Instrument 1,122,121,136,100,110,110,121,123,111,120,127,120,1421.00,118.42,120.50,136,100,379.00,320.00,355.00,367.00,126.33,106.67,118.33,122.33,699.00,116.50,722.00,118.86
Hospital 562,Region 1,District 41,Instrument 2,4534,4539,5580,5337,4342,5045,5389,4035,4414,4076,5621,4026,56938.00,4744.83,4536.50,5621,4026,14653.00,14724.00,13838.00,13723.00,4884.33,4908.00,4612.67,4574.33,29377.00,4896.17,27561.00,4658.00
Hospital 562,Region 1,District 41,Instrument 3,1686,1674,1679,1762,2035,1731,1710,1771,1691,1798,1552,1739,20828.00,1735.67,1720.50,2035,1552,5039.00,5528.00,5172.00,5089.00,1679.67,1842.67,1724.00,1696.33,10567.00,1761.17,10261.00,1713.14
Hospital 562,Region 1,District 41,Instrument 5,0,0,0,0,0,0,0,28,12,18,18,19,95.00,7.92,0.00,28,0,0.00,0.00,40.00,55.00,0.00,0.00,13.33,18.33,0.00,0.00,95.00,13.57
Hospital 562,Region 1,District 50,Instrument 2,14785,14675,13477,15423,17207,14213,17555,15485,15099,20868,24470,18600,201857.00,16821.42,15454.00,24470,13477,42937.00,46843.00,48139.00,63938.00,14312.33,15614.33,16046.33,21312.67,89780.00,14963.33,112077.00,18041.43
Hospital 562,Region 1,District 50,Instrument 3,36,38,40,36,35,35,35,35,35,35,35,35,430.00,35.83,35.00,40,35,114.00,106.00,105.00,105.00,38.00,35.33,35.00,35.00,220.00,36.67,210.00,35.00
Hospital 562,Region 1,District 50,Instrument 4,0,0,0,0,0,0,71,0,0,0,0,0,71.00,5.92,0.00,71,0,0.00,0.00,71.00,0.00,0.00,0.00,23.67,0.00,0.00,0.00,71.00,10.14
Hospital 562,Region 1,District 6,Instrument 2,0,0,0,0,2790,1907,2030,2120,1685,1839,2107,2446,16924.00,1410.33,1873.00,2790,0,0.00,4697.00,5835.00,6392.00,0.00,1565.67,1945.00,2130.67,4697.00,782.83,12227.00,2019.14
Hospital 562,Region 1,District 8,Instrument 1,28,32,27,25,23,0,0,0,0,0,0,0,135.00,11.25,0.00,32,0,87.00,48.00,0.00,0.00,29.00,16.00,0.00,0.00,135.00,22.50,0.00,0.00
Hospital 562,Region 1,District 8,Instrument 2,197,224,190,178,161,133,126,126,125,123,153,149,1885.00,157.08,151.00,224,123,611.00,472.00,377.00,425.00,203.67,157.33,125.67,141.67,1083.00,180.50,802.00,133.57
Hospital 563,Region 2,District 13,Instrument 1,120,111,107,127,125,0,0,0,0,0,0,0,590.00,49.17,0.00,127,0,338.00,252.00,0.00,0.00,112.67,84.00,0.00,0.00,590.00,98.33,0.00,0.00
Hospital 563,Region 2,District 13,Instrument 2,12545,13786,10006,8408,9479,9167,9611,9928,9914,9521,8607,10494,121466.00,10122.17,9762.50,13786,8408,36337.00,27054.00,29453.00,28622.00,12112.33,9018.00,9817.67,9540.67,63391.00,10565.17,58075.00,9606.00
Hospital 563,Region 2,District 13,Instrument 3,2241,2100,1501,1235,61,29,40,32,34,56,34,32,7395.00,616.25,48.00,2241,29,5842.00,1325.00,106.00,122.00,1947.33,441.67,35.33,40.67,7167.00,1194.50,228.00,36.71
Hospital 563,Region 2,District 13,Instrument 4,1125,1291,753,234,0,0,0,0,0,0,0,0,3403.00,283.58,0.00,1291,0,3169.00,234.00,0.00,0.00,1056.33,78.00,0.00,0.00,3403.00,567.17,0.00,0.00
Hospital 563,Region 2,District 13,Instrument 5,819,809,810,865,855,1056,647,847,786,760,323,178,8755.00,729.58,809.50,1056,178,2438.00,2776.00,2280.00,1261.00,812.67,925.33,760.00,420.33,5214.00,869.00,3541.00,656.71
Hospital 563,Region 2,District 13,Instrument 8,0,0,0,0,0,0,109,104,109,107,99,114,642.00,53.50,49.50,114,0,0.00,0.00,322.00,320.00,0.00,0.00,107.33,106.67,0.00,0.00,642.00,91.71
