Hospital_ID,District_ID,Instrument_ID,Annual_Projected_Revenue,Buy_or_not
Hospital 1,District 13,Instrument 2,17164,1
Hospital 1,District 13,Instrument 3,655645,1
Hospital 1,District 13,Instrument 4,281452,1
Hospital 1,District 2,Instrument 2,12199,1
Hospital 1,District 20,Instrument 2,178128,1
Hospital 1,District 20,Instrument 3,305796,1
Hospital 1,District 20,Instrument 7,5215,1
Hospital 1,District 20,Instrument 8,280140,1
Hospital 1,District 41,Instrument 2,4320,1
Hospital 1,District 41,Instrument 3,792,1
Hospital 1,District 50,Instrument 2,61301,1
Hospital 1,District 50,Instrument 3,137862,1
Hospital 1000,District 50,Instrument 2,9715,1
Hospital 1000,District 50,Instrument 3,2496,1
Hospital 1001,District 13,Instrument 2,996,1
Hospital 1001,District 13,Instrument 5,8496,1
Hospital 1001,District 20,Instrument 3,1103,1
Hospital 1001,District 41,Instrument 2,3456,1
Hospital 1001,District 41,Instrument 3,210,1
Hospital 1003,District 10,Instrument 2,42654,1
Hospital 1003,District 18,Instrument 2,9965,1
Hospital 1003,District 18,Instrument 3,3151,1
Hospital 1003,District 20,Instrument 2,1295,1
Hospital 1003,District 20,Instrument 3,240,1
Hospital 1003,District 28,Instrument 2,146016,1
Hospital 1003,District 28,Instrument 3,33726,1
Hospital 1003,District 28,Instrument 4,93912,1
Hospital 1003,District 34,Instrument 2,2532,1
Hospital 1003,District 34,Instrument 3,1782,1
Hospital 1003,District 34,Instrument 4,300,1
Hospital 1003,District 34,Instrument 7,840,1
Hospital 1003,District 39,Instrument 2,426,1
Hospital 1003,District 50,Instrument 2,62821,1
Hospital 1003,District 50,Instrument 3,112170,1
Hospital 1003,District 50,Instrument 5,183814,1
Hospital 1004,District 17,Instrument 2,218872,1
Hospital 1004,District 20,Instrument 3,552,1
Hospital 1004,District 34,Instrument 2,1848,1
Hospital 1004,District 34,Instrument 3,1806,1
Hospital 1006,District 10,Instrument 7,30337,1
Hospital 1006,District 12,Instrument 2,229343,1
Hospital 1006,District 13,Instrument 2,609207,1
Hospital 1006,District 13,Instrument 3,97092,1
Hospital 1006,District 15,Instrument 2,56064,1
