Hospital_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total,Year Average,Year Median,Max Year,Min Year,First Quarter Sum,Second Quarter Sum,Third Quarter Sum,Fourth Quarter Sum,First Quarter Avg,Second Quarter Avg,Third Quarter Avg,Fourth Quarter Avg,First Half Year Total,First Half Year Average,Second Half Year Total,Second Half Year Average,Hospital_employees,Annual_Projected_Revenue,Buy_or_not
Hospital 1,District 12,Instrument 2,8534,9917,7825,11702,8776,7755,9289,7796,7595,8292,7787,8282,103550,8629.17,8287,11702,7595,26276,28233,24680,24361,8758.67,9411,8226.67,8120.33,54509,49041,9084.83,8113.71,3,0,0
Hospital 1,District 12,Instrument 3,298,298,214,311,261,223,237,171,173,183,193,0,2562,213.5,218.5,311,0,810,795,581,376,270,265,193.67,125.33,1605,957,267.5,168.57,3,0,0
Hospital 1,District 13,Instrument 1,37,40,38,43,29,0,0,0,0,0,0,0,187,15.58,0,43,0,115,72,0,0,38.33,24,0,0,187,0,31.17,0,6,0,0
Hospital 1,District 13,Instrument 5,416,438,426,417,383,445,382,395,375,389,376,378,4820,401.67,392,445,375,1280,1245,1152,1143,426.67,415,384,381,2525,2295,420.83,391.43,6,0,0
Hospital 1,District 16,Instrument 2,805,1027,1042,1195,798,798,557,678,987,883,784,784,10338,861.5,801.5,1195,557,2874,2791,2222,2451,958,930.33,740.67,817,5665,4673,944.17,781.57,3,0,0
Hospital 1,District 19,Instrument 1,53,50,54,47,52,190,215,220,212,182,214,199,1688,140.67,186,220,47,157,289,647,595,52.33,96.33,215.67,198.33,446,1242,74.33,204.57,5,0,0
Hospital 1,District 19,Instrument 2,1240,1210,1135,1118,-1205,1378,1328,1384,1335,1312,876,1342,12453,1037.75,1276,1384,-1205,3585,1291,4047,3530,1195,430.33,1349,1176.67,4876,7577,812.67,1279.29,5,0,0
Hospital 1,District 19,Instrument 7,383,443,631,502,584,0,0,0,0,0,0,0,2543,211.92,0,631,0,1457,1086,0,0,485.67,362,0,0,2543,0,423.83,0,5,0,0
Hospital 1,District 20,Instrument 1,2741,1,1922,0,0,0,1859,0,1492,0,811,0,8826,735.5,0.5,2741,0,4664,0,3351,811,1554.67,0,1117,270.33,4664,4162,777.33,594.57,112,0,0
Hospital 1,District 20,Instrument 6,273,0,2038,0,863,0,247,0,1313,0,720,0,5454,454.5,123.5,2038,0,2311,863,1560,720,770.33,287.67,520,240,3174,2280,529,325.71,112,0,0
Hospital 1,District 28,Instrument 1,27,27,29,27,25,27,25,23,22,17,22,0,271,22.58,25,29,0,83,79,70,39,27.67,26.33,23.33,13,162,109,27,19.43,34,0,0
Hospital 1,District 28,Instrument 2,1441,1199,1298,1177,1081,1022,970,1022,924,1392,1023,1244,13793,1149.42,1129,1441,924,3938,3280,2916,3659,1312.67,1093.33,972,1219.67,7218,6575,1203,1085.29,34,0,0
