Hospital_ID,Region_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total,Year Average,Year Median,Max Year,Min Year,First Quarter Sum,Second Quarter Sum,Third Quarter Sum,Fourth Quarter Sum,First Quarter Avg,Second Quarter Avg,Third Quarter Avg,Fourth Quarter Avg,First Half Year Total,First Half Year Average,Second Half Year Total,Second Half Year Average,Hospital_employees,Annual_Projected_Revenue,Buy_or_not
Hospital 1,Region 1,District 13,Instrument 2,2486,3332,3193,2556,2108,2757,2639,2531,2771,2682,12317,1369,40741,3395.08,2660.5,12317,1369,9011,7421,7941,16368,3003.67,2473.67,2647,5456,16432,24309,2738.67,3866.57,6,17164,1
Hospital 1,Region 1,District 13,Instrument 3,857,892,739,759,736,415,1203,434,448,113,829,1124,8549,712.42,749,1203,113,2488,1910,2085,2066,829.33,636.67,695,688.67,4398,4151,733,652.29,6,655645,1
Hospital 1,Region 1,District 13,Instrument 4,252,292,270,287,320,0,0,0,0,0,0,0,1421,118.42,0,320,0,814,607,0,0,271.33,202.33,0,0,1421,0,236.83,0,6,281452,1
Hospital 1,Region 1,District 20,Instrument 2,37391,9,26350,0,22969,0,25118,0,20164,0,10956,0,142957,11913.08,5482.5,37391,0,63750,22969,45282,10956,21250,7656.33,15094,3652,86719,56238,14453.17,8034,112,178128,1
Hospital 1,Region 1,District 20,Instrument 3,49795,1168,70758,1132,73703,0,68813,0,61638,0,59034,0,386041,32170.08,25481.5,73703,0,121721,74835,130451,59034,40573.67,24945,43483.67,19678,196556,189485,32759.33,27069.29,112,305796,1
Hospital 1,Region 1,District 20,Instrument 7,2293,0,2289,0,2275,0,2224,0,2174,0,2174,0,13429,1119.08,1087,2293,0,4582,2275,4398,2174,1527.33,758.33,1466,724.67,6857,6572,1142.83,938.86,112,5215,1
Hospital 1,Region 1,District 20,Instrument 8,0,0,0,0,0,0,5738,0,6212,0,6257,0,18207,1517.25,0,6257,0,0,0,11950,6257,0,0,3983.33,2085.67,0,18207,0,2601,112,280140,1
Hospital 1,Region 1,District 41,Instrument 2,2491,580,2111,2804,2273,2723,2645,2893,1877,2158,3524,4706,30785,2565.42,2568,4706,580,5182,7800,7415,10388,1727.33,2600,2471.67,3462.67,12982,17803,2163.67,2932.29,83,4320,1
Hospital 1,Region 1,District 41,Instrument 3,2029,2029,1960,2405,2774,2367,1858,2727,1947,3148,6155,2139,31538,2628.17,2253,6155,1858,6018,7546,6532,11442,2006,2515.33,2177.33,3814,13564,17974,2260.67,2905.86,83,792,1
Hospital 1001,Region 3,District 13,Instrument 2,2768,3802,4602,3832,4539,7872,8492,7717,5726,5818,6126,5240,66534,5544.5,5483,8492,2768,11172,16243,21935,17184,3724,5414.33,7311.67,5728,27415,39119,4569.17,6713,1288,996,1
Hospital 1001,Region 3,District 13,Instrument 5,2551,2437,2285,2503,2307,2399,2387,2169,1636,2245,1762,2314,26995,2249.58,2310.5,2551,1636,7273,7209,6192,6321,2424.33,2403,2064,2107,14482,12513,2413.67,2130.29,1288,8496,1
Hospital 1001,Region 3,District 20,Instrument 3,0,121,0,186,0,127,0,127,0,127,0,127,815,67.92,60.5,186,0,121,313,127,254,40.33,104.33,42.33,84.67,434,381,72.33,72.57,6,1103,1
Hospital 1001,Region 3,District 41,Instrument 2,344,344,207,379,419,209,245,285,289,212,243,254,3430,285.83,269.5,419,207,895,1007,819,709,298.33,335.67,273,236.33,1902,1528,317,248.14,42,3456,1
Hospital 1001,Region 3,District 41,Instrument 3,126,126,161,129,203,121,107,112,114,112,130,203,1644,137,126,203,107,413,453,333,445,137.67,151,111,148.33,866,778,144.33,128.43,42,210,1
Hospital 1003,Region 2,District 10,Instrument 2,2806,2967,2620,2915,3495,3055,3098,2996,2838,3653,2910,3214,36567,3047.25,2981.5,3653,2620,8393,9465,8932,9777,2797.67,3155,2977.33,3259,17858,18709,2976.33,3109.14,857,42654,1
Hospital 1003,Region 2,District 18,Instrument 2,15747,21092,20962,16163,16114,16505,14713,12427,12894,14005,13995,14726,189343,15778.58,15236.5,21092,12427,57801,48782,40034,42726,19267,16260.67,13344.67,14242,106583,82760,17763.83,14180.71,4477,9965,1
Hospital 1003,Region 2,District 18,Instrument 3,0,0,0,0,17,10,6,3662,2131,2615,2274,4146,14861,1238.42,13.5,4146,0,0,27,5799,9035,0,9,1933,3011.67,27,14834,4.5,2120.57,4477,3151,1
Hospital 1003,Region 2,District 20,Instrument 2,141,3875,0,3157,0,5035,0,4745,0,4667,44,4584,26248,2187.33,1649,5035,0,4016,8192,4745,9295,1338.67,2730.67,1581.67,3098.33,12208,14040,2034.67,2725,127,1295,1
Hospital 1003,Region 2,District 20,Instrument 3,0,2483,0,2175,0,2524,0,1176,0,954,0,868,10180,848.33,434,2524,0,2483,4699,1176,1822,827.67,1566.33,392,607.33,7182,2998,1197,788.86,127,240,1
Hospital 1003,Region 2,District 28,Instrument 2,34323,21598,22669,15575,9196,12709,9162,12466,8318,7759,10833,15789,180397,15033.08,12587.5,34323,7759,78590,37480,29946,34381,26196.67,12493.33,9982,11460.33,116070,64327,19345,11005.14,1654,146016,1
Hospital 1003,Region 2,District 28,Instrument 3,462,236,269,178,156,167,122,276,212,205,212,193,2688,224,208.5,462,122,967,501,610,610,322.33,167,203.33,203.33,1468,1220,244.67,198.14,1654,33726,1
Hospital 1003,Region 2,District 28,Instrument 4,2395,2673,1446,2808,120,2676,1735,708,498,395,336,0,15790,1315.83,1077,2808,0,6514,5604,2941,731,2171.33,1868,980.33,243.67,12118,3672,2019.67,906.86,1654,93912,1
Hospital 1003,Region 2,District 34,Instrument 2,621,361,472,337,375,596,610,692,629,662,601,834,6790,565.83,605.5,834,337,1454,1308,1931,2097,484.67,436,643.67,699,2762,4028,460.33,660.57,36,2532,1
Hospital 1003,Region 2,District 34,Instrument 3,159,152,74,74,74,65,62,63,65,65,58,61,972,81,65,159,58,385,213,190,184,128.33,71,63.33,61.33,598,374,99.67,62.71,36,1782,1
Hospital 1003,Region 2,District 34,Instrument 4,236,70,42,43,44,34,31,5,0,0,0,0,505,42.08,32.5,236,0,348,121,36,0,116,40.33,12,0,469,36,78.17,10,36,300,1
Hospital 1003,Region 2,District 34,Instrument 7,0,56,78,53,47,156,114,116,56,56,56,56,844,70.33,56,156,0,134,256,286,168,44.67,85.33,95.33,56,390,454,65,87.14,36,840,1
Hospital 1003,Region 2,District 39,Instrument 2,12594,14226,14598,17344,14991,14057,13935,13388,13411,13283,13412,13245,168484,14040.33,13673.5,17344,12594,41418,46392,40734,39940,13806,15464,13578,13313.33,87810,80674,14635,13533,28,426,1
